transaction_id,city,transaction_date,card_type,exp_type,gender,amount
1,Delhi,29-10-2014,Gold,Bills,F,82475.00
2,Greater Mumbai,22-08-2014,Platinum,Bills,F,32555.00
3,Bengaluru,27-08-2014,Silver,Bills,F,101738.00
4,Greater Mumbai,12-04-2014,Signature,Bills,F,123424.00
5,Bengaluru,05-05-2015,Gold,Bills,F,171574.00
6,Delhi,08-09-2014,Silver,Bills,F,100036.00
7,Delhi,24-02-2015,Gold,Bills,F,143250.00
8,Greater Mumbai,26-06-2014,Platinum,Bills,F,150980.00
9,Delhi,28-03-2014,Silver,Bills,F,192247.00
10,Delhi,01-09-2014,Platinum,Bills,F,67932.00
11,Delhi,22-06-2014,Platinum,Bills,F,280061.00
12,Greater Mumbai,07-12-2013,Signature,Bills,F,278036.00
13,Greater Mumbai,07-08-2014,Gold,Bills,F,19226.00
14,Delhi,27-04-2014,Signature,Bills,F,254359.00
15,Greater Mumbai,15-08-2014,Signature,Bills,F,302834.00
16,Greater Mumbai,28-11-2014,Platinum,Bills,F,647116.00
17,Greater Mumbai,14-06-2014,Signature,Bills,F,421878.00
18,Greater Mumbai,30-03-2015,Gold,Bills,F,986379.00
19,Greater Mumbai,15-03-2014,Platinum,Bills,F,213047.00
20,Greater Mumbai,09-11-2013,Platinum,Bills,F,735566.00
21,Delhi,04-04-2014,Signature,Bills,F,366102.00
22,Delhi,01-07-2014,Signature,Bills,F,809623.00
23,Greater Mumbai,27-03-2015,Silver,Bills,F,467014.00
24,Ahmedabad,11-10-2013,Gold,Bills,F,668568.00
25,Ahmedabad,26-03-2014,Gold,Bills,F,339112.00
26,Delhi,27-09-2014,Silver,Bills,F,622170.00
27,Bengaluru,23-03-2014,Platinum,Bills,F,434427.00
28,Greater Mumbai,17-05-2014,Signature,Bills,F,655846.00
29,Bengaluru,18-01-2015,Platinum,Bills,F,987935.00
30,Delhi,18-04-2015,Gold,Bills,F,702774.00
31,Bengaluru,31-07-2014,Signature,Bills,F,225392.00
32,Greater Mumbai,11-02-2015,Gold,Bills,F,296573.00
33,Ahmedabad,24-11-2013,Platinum,Bills,F,227702.00
34,Ahmedabad,08-11-2014,Gold,Bills,F,864090.00
35,Ahmedabad,06-09-2014,Signature,Bills,F,440605.00
36,Ahmedabad,24-03-2015,Platinum,Bills,F,954660.00
37,Ahmedabad,01-01-2014,Signature,Bills,F,255577.00
38,Ahmedabad,12-07-2014,Silver,Bills,F,337352.00
39,Ahmedabad,04-02-2014,Platinum,Bills,F,660244.00
40,Delhi,03-02-2015,Silver,Bills,F,401351.00
41,Delhi,27-10-2013,Platinum,Bills,F,678842.00
42,Delhi,11-05-2014,Gold,Bills,F,478861.00
43,Bengaluru,10-11-2014,Platinum,Bills,F,804938.00
44,Delhi,30-01-2015,Silver,Bills,F,888341.00
45,Bengaluru,19-04-2014,Platinum,Bills,F,262414.00
46,Bengaluru,08-09-2014,Gold,Bills,F,249353.00
47,Ahmedabad,10-12-2013,Gold,Bills,F,892016.00
48,Ahmedabad,04-11-2013,Platinum,Bills,F,313626.00
49,Greater Mumbai,01-06-2014,Gold,Bills,F,314366.00
50,Greater Mumbai,27-04-2014,Signature,Bills,F,551340.00
51,Delhi,04-10-2013,Signature,Bills,F,735037.00
52,Greater Mumbai,31-12-2014,Platinum,Bills,F,574023.00
53,Ahmedabad,21-12-2013,Signature,Bills,F,402300.00
54,Delhi,07-12-2013,Signature,Bills,F,733125.00
55,Greater Mumbai,07-02-2014,Signature,Bills,F,545977.00
56,Bengaluru,13-05-2015,Silver,Bills,F,371572.00
57,Ahmedabad,28-01-2015,Signature,Bills,F,326283.00
58,Delhi,09-12-2014,Platinum,Bills,F,279051.00
59,Delhi,08-10-2013,Platinum,Bills,F,900101.00
60,Ahmedabad,24-04-2014,Silver,Bills,F,545286.00
61,Delhi,13-01-2015,Platinum,Bills,F,722587.00
62,Bengaluru,14-03-2014,Platinum,Bills,F,411062.00
63,Delhi,27-02-2014,Platinum,Bills,F,660910.00
64,Greater Mumbai,29-10-2013,Signature,Bills,F,557370.00
65,Greater Mumbai,22-06-2014,Platinum,Bills,F,549794.00
66,Delhi,23-01-2014,Platinum,Bills,F,340133.00
67,Bengaluru,10-11-2013,Gold,Bills,F,265417.00
68,Greater Mumbai,13-12-2013,Platinum,Bills,F,358185.00
69,Greater Mumbai,22-03-2014,Gold,Bills,F,991685.00
70,Greater Mumbai,13-01-2015,Gold,Bills,F,533762.00
71,Greater Mumbai,08-05-2014,Gold,Bills,F,829742.00
72,Delhi,18-02-2014,Silver,Bills,F,441527.00
73,Delhi,04-10-2013,Signature,Bills,F,550782.00
74,Greater Mumbai,14-06-2014,Platinum,Bills,F,835872.00
75,Ahmedabad,24-08-2014,Silver,Bills,F,540497.00
76,Greater Mumbai,02-04-2015,Platinum,Bills,F,525977.00
77,Greater Mumbai,27-06-2014,Gold,Bills,F,789393.00
78,Greater Mumbai,06-02-2015,Platinum,Bills,F,689478.00
79,Bengaluru,29-03-2014,Silver,Bills,F,499079.00
80,Ahmedabad,22-04-2014,Platinum,Bills,F,665107.00
81,Greater Mumbai,14-10-2014,Platinum,Bills,F,998077.00
82,Ahmedabad,02-02-2014,Silver,Bills,F,934205.00
83,Bengaluru,01-04-2015,Platinum,Bills,F,823426.00
84,Ahmedabad,13-01-2015,Signature,Bills,F,282910.00
85,Bengaluru,27-03-2014,Gold,Bills,F,418675.00
86,Ahmedabad,17-02-2015,Silver,Bills,F,804949.00
87,Bengaluru,10-02-2015,Gold,Bills,F,686601.00
88,Greater Mumbai,26-02-2014,Silver,Bills,F,561220.00
89,Greater Mumbai,07-05-2015,Gold,Bills,F,762534.00
90,Bengaluru,05-01-2014,Gold,Bills,F,327947.00
91,Bengaluru,07-04-2014,Gold,Bills,F,492986.00
92,Delhi,20-02-2015,Signature,Bills,F,369237.00
93,Bengaluru,19-01-2015,Platinum,Bills,F,983839.00
94,Ahmedabad,14-11-2014,Gold,Bills,F,776716.00
95,Greater Mumbai,21-07-2014,Gold,Bills,F,664632.00
